output_id,run_id,label_id,excerpt_id,contract_id,field_name,ai_answer,ai_source_text,confidence,match_status,score,error_type,severity,source_match_status,missed_nuance,over_extracted,escalation_required,suggested_instruction_fix
O0001,R001,L001,E001,C001,governing_law,Delaware,"This Agreement is governed by the laws of Delaware, excluding conflict-of-law rules.",0.59,correct,1.0,,low,supported,false,false,false,
O0002,R002,L001,E001,C001,governing_law,Approx: Delaware,"This Agreement is governed by the laws of Delaware, excluding conflict-of-law rules.",0.78,mostly_correct,0.75,,low,supported,false,false,false,
O0003,R001,L002,E002,C002,notice_period,Approx: 30 days,Either party may terminate for convenience upon 30 days written notice. See Section 14.2 for additio,0.77,partial,0.5,Scope error,medium,supported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0004,R002,L002,E002,C002,notice_period,Approx: 30 days,Either party may terminate for convenience upon 30 days written notice. See Section 14.2 for additio,0.93,incorrect,0.0,Party error,medium,unsupported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0005,R001,L003,E003,C003,limitation_of_liability,Approx: See clause text,"Except for excluded claims, aggregate liability will not exceed fees paid in the prior 12 months. If",0.89,not_present,0.0,Time-period error,high,partially_supported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0006,R002,L003,E003,C003,limitation_of_liability,Approx: See clause text,"Except for excluded claims, aggregate liability will not exceed fees paid in the prior 12 months. If",0.76,ambiguous,0.5,Monetary error,high,unsupported,true,false,true,Add explicit instruction to capture exceptions and party scoping.
O0007,R001,L004,E004,C004,confidentiality_survival_period,Approx: 3 years,Confidentiality obligations survive for three years after termination.,0.93,not_assessable,0.0,Exception error,medium,partially_supported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0008,R002,L004,E004,C004,confidentiality_survival_period,3 years,Confidentiality obligations survive for three years after termination.,0.47,correct,1.0,,low,supported,false,false,false,
O0009,R001,L005,E005,C005,auto_renewal,Approx: 1-year auto-renewal unless 60-day notice,The initial term is one year and renews automatically for successive one-year terms unless notice is,0.43,mostly_correct,0.75,,low,supported,false,false,false,
O0010,R002,L005,E005,C005,auto_renewal,Approx: 1-year auto-renewal unless 60-day notice,The initial term is one year and renews automatically for successive one-year terms unless notice is,0.57,partial,0.5,Ambiguity escalation,high,supported,true,false,true,Add explicit instruction to capture exceptions and party scoping.
O0011,R001,L006,E006,C006,payment_terms,Approx: Net 30,Invoices are due net 30 from receipt of undisputed invoice.,0.85,incorrect,0.0,False positive,medium,partially_supported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0012,R002,L006,E006,C006,payment_terms,Approx: Net 30,Invoices are due net 30 from receipt of undisputed invoice.,0.69,not_present,0.0,False negative,high,partially_supported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
